Index,Value
1,0.999875983
2,0.999008285
3,0.996656816
4,0.992093013
5,0.984612589
6,0.973552488
7,0.958311108
8,0.938370565
9,0.913319451
10,0.882874271
11,0.846897643
12,0.805411326
13,0.758602374
14,0.706821084
15,0.650569943
16,0.590483487
17,0.527299622
18,0.461823614
19,0.394886381
20,0.327298793
21,0.259803284
22,0.193022661
23,0.127402591
24,0.063134415
25,6.12574E-17
26,0.063134415
27,0.127402591
28,0.193022661
29,0.259803284
30,0.327298793
31,0.394886381
32,0.461823614
33,0.527299622
34,0.590483487
35,0.650569943
36,0.706821084
37,0.758602374
38,0.805411326
39,0.846897643
40,0.882874271
41,0.913319451
42,0.938370565
43,0.958311108
44,0.973552488
45,0.984612589
46,0.992093013
47,0.996656816
48,0.999008285
49,0.999875983
50,1
51,1.000124033
52,1.000992699
53,1.003354398
54,1.007970006
55,1.015627884
56,1.027165985
57,1.043502462
58,1.065677076
59,1.094907153
60,1.132664109
61,1.180780237
62,1.241601612
63,1.318213643
64,1.414785188
65,1.537113743
66,1.69352746
67,1.896454992
68,2.165328859
69,2.53237399
70,3.055312213
71,3.849066048
72,5.180738857
73,7.84913391
74,15.83922186
75,5.44152E+15
76,15.83922186
77,7.84913391
78,5.180738857
79,3.849066048
80,3.055312213
81,2.53237399
82,2.165328859
83,1.896454992
84,1.69352746
85,1.537113743
86,1.414785188
87,1.318213643
88,1.241601612
89,1.180780237
90,1.132664109
91,1.094907153
92,1.065677076
93,1.043502462
94,1.027165985
95,1.015627884
96,1.007970006
97,1.003354398
98,1.000992699
99,1.000124033
100,1
